date,vehicle_category,units
01/01/16,FOUR WHEELER (INVALID CARRIAGE),1
01/01/22,FOUR WHEELER (INVALID CARRIAGE),1
01/01/23,FOUR WHEELER (INVALID CARRIAGE),1
01/01/24,FOUR WHEELER (INVALID CARRIAGE),7
01/02/16,FOUR WHEELER (INVALID CARRIAGE),1
01/02/22,FOUR WHEELER (INVALID CARRIAGE),1
01/02/23,FOUR WHEELER (INVALID CARRIAGE),1
01/02/24,FOUR WHEELER (INVALID CARRIAGE),3
01/03/23,FOUR WHEELER (INVALID CARRIAGE),3
01/03/24,FOUR WHEELER (INVALID CARRIAGE),10
01/04/22,FOUR WHEELER (INVALID CARRIAGE),1
01/04/23,FOUR WHEELER (INVALID CARRIAGE),5
01/04/24,FOUR WHEELER (INVALID CARRIAGE),3
01/05/16,FOUR WHEELER (INVALID CARRIAGE),1
01/05/21,FOUR WHEELER (INVALID CARRIAGE),1
01/05/22,FOUR WHEELER (INVALID CARRIAGE),3
01/05/23,FOUR WHEELER (INVALID CARRIAGE),9
01/05/24,FOUR WHEELER (INVALID CARRIAGE),5
01/06/15,FOUR WHEELER (INVALID CARRIAGE),1
01/06/22,FOUR WHEELER (INVALID CARRIAGE),1
01/06/23,FOUR WHEELER (INVALID CARRIAGE),5
01/06/24,FOUR WHEELER (INVALID CARRIAGE),2
01/07/22,FOUR WHEELER (INVALID CARRIAGE),1
01/07/23,FOUR WHEELER (INVALID CARRIAGE),2
01/07/24,FOUR WHEELER (INVALID CARRIAGE),1
01/08/22,FOUR WHEELER (INVALID CARRIAGE),1
01/08/23,FOUR WHEELER (INVALID CARRIAGE),3
01/09/23,FOUR WHEELER (INVALID CARRIAGE),5
01/10/22,FOUR WHEELER (INVALID CARRIAGE),2
01/10/23,FOUR WHEELER (INVALID CARRIAGE),4
01/11/22,FOUR WHEELER (INVALID CARRIAGE),1
01/11/23,FOUR WHEELER (INVALID CARRIAGE),5
01/12/16,FOUR WHEELER (INVALID CARRIAGE),1
01/12/21,FOUR WHEELER (INVALID CARRIAGE),2
01/12/23,FOUR WHEELER (INVALID CARRIAGE),3
01/01/01,HEAVY GOODS VEHICLE,1
01/01/02,HEAVY GOODS VEHICLE,2
01/01/03,HEAVY GOODS VEHICLE,1
01/01/04,HEAVY GOODS VEHICLE,2
01/01/06,HEAVY GOODS VEHICLE,1
01/01/07,HEAVY GOODS VEHICLE,3
01/01/11,HEAVY GOODS VEHICLE,1
01/01/12,HEAVY GOODS VEHICLE,2
01/01/13,HEAVY GOODS VEHICLE,3
01/01/16,HEAVY GOODS VEHICLE,1
01/01/24,HEAVY GOODS VEHICLE,21
01/02/03,HEAVY GOODS VEHICLE,1
01/02/10,HEAVY GOODS VEHICLE,2
01/02/11,HEAVY GOODS VEHICLE,2
01/02/12,HEAVY GOODS VEHICLE,2
01/02/14,HEAVY GOODS VEHICLE,3
01/02/15,HEAVY GOODS VEHICLE,2
01/02/16,HEAVY GOODS VEHICLE,1
01/02/24,HEAVY GOODS VEHICLE,28
01/03/02,HEAVY GOODS VEHICLE,1
01/03/05,HEAVY GOODS VEHICLE,1
01/03/08,HEAVY GOODS VEHICLE,4
01/03/10,HEAVY GOODS VEHICLE,3
01/03/11,HEAVY GOODS VEHICLE,1
01/03/12,HEAVY GOODS VEHICLE,7
01/03/17,HEAVY GOODS VEHICLE,1
01/03/23,HEAVY GOODS VEHICLE,183
