category,maker_name,year,units_sold
LMV,ACTION CONSTRUCTION EQUIPMENT LTD.,2015,6
LMV,AMMAN ENGINEERING COMPANY,2015,1
2W,AMPERE VEHICLES PVT LTD,2015,31
LMV,ANBU TRAILERS,2015,1
LMV,ANTONY TRAILORS,2015,1
LMV,ARBUDA TRAILER,2015,1
3W,ATTOLENT AUTOGROUP PVT LTD,2015,35
3W,ATUL AUTO LTD,2015,1
2W,BAJAJ AUTO LTD,2015,161
3W,BAJAJ AUTO LTD,2015,37
LMV,BALAMURUGAN ENGINEERING WORKS,2015,1
3W,BATTERY RICKSHAW SANGH,2015,669
3W,BESTWAY AGENCIES PVT LTD,2015,1
LMV,BILAL TRAILORS,2015,2
LMV,BMW INDIA PVT LTD,2015,1
2W,BSA MOTORS,2015,1
3W,CLH GASEOUS FUEL APPL PVT LTD,2015,4
3W,DEVAM ELECTRIC VEH P L,2015,1
LMV,DHARMAND TRAILERS,2015,1
3W,DILLI ELECTRIC AUTO PVT LTD,2015,16
MMV,DIVYA INDUSTRIES,2015,1
2W,DSK MOTOWHEELS PVT LTD.,2015,1
3W,DYS IMPEX PVT LTD,2015,1
LMV,EICHER TRACTORS,2015,4
2W,EKO VEHICLE PRIVATE LIMITED,2015,10
2W,ELECTROTHERM (I) LIMITED,2015,178
3W,ELECTROTHERM (I) LIMITED,2015,44
3W,ELECTROTHERM (INDIA) LIMITED,2015,1
LMV,FORD INDIA PVT LTD,2015,1
LMV,GANAPATI AGRO INDUSTRIES,2015,1
3W,GEMAG CONSTRUCTION MACHINARY,2015,1
2W,GENERAL MOTORS INDIA PVT LTD,2015,3
LMV,GENERAL MOTORS INDIA PVT LTD,2015,1
LMV,GODREJ AND BOYCE MFG CO LTD,2015,15
3W,GOENKA ELECTRIC MOTOR VEH P L,2015,35
3W,GOOD ENERGY INDIA,2015,1
3W,GREEN IMPEX,2015,1
2W,HERO ECO VEHICLES PVT LTD,2015,33
2W,HERO ELECTRIC VEHICLE PVT LTD,2015,254
3W,HERO ELECTRIC VEHICLE PVT LTD,2015,63
2W,HERO ELECTRIC VEHICLES PVT. LTD,2015,1
2W,HERO HONDA MOTORS  LTD,2015,19
2W,HERO MOTOCORP LTD,2015,92
2W,HONDA CARS INDIA LTD,2015,134
LMV,HONDA CARS INDIA LTD,2015,2
2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,2015,119
2W,INDIA YAMAHA MOTOR PVT LTD,2015,26
2W,INDUS ELECTROTHERM INDIA LTD,2015,13
2W,ISUZU MOTOR INDIA PVT LTD,2015,1
LMV,JAI AMBE FABRICATION & ENGINEERING WORK,2015,1
LMV,JANANI TRAILERS,2015,1
LMV,JAYANTI AGRO CENTRES,2015,1
LMV,KARUMALAIAN AGRO INDUSTRY     ,2015,3
MMV,KARUMALAIAN AGRO INDUSTRY     ,2015,1
3W,KINETIC GREEN ENERGY P SOL LTD,2015,29
3W,KINETIC MOTOR COMPANY LIMITED,2015,3
LMV,KION INDIA PVT LTD,2015,2
LMV,KISAN AGRO INDUSTRIES,2015,2
3W,KNIGHT QUEEN INDUSTRIES PV LTD,2015,8
2W,KRT MOTORS PVT LTD,2015,1
